word,list_of_urls
person,"[['https://www.cfcindia.org/wftw/a-cure-for-our-imbalance', 10.881623211581292, 3], ['https://www.cfcindia.org/wftw/it-is-only-god-with-whom-you-have-to-do', 0, 5], ['https://www.cfcindia.org/wftw/appreciate-the-variety-in-the-body-of-christ', 0, 5], ['https://www.cfcindia.org/wftw/an-adequate-response-to-god', 19.596905189051277, 1], ['https://www.cfcindia.org/wftw/living-in-an-atmosphere-of-heaven', 10.742093614881568, 2], ['https://www.cfcindia.org/wftw/living-in-an-atmosphere-of-heaven', 14.438938720105737, 2], ['https://www.cfcindia.org/wftw/three-things-jesus-did-for-us-on-the-cross', 7.022209138277999, 1], ['https://www.cfcindia.org/wftw/manifesting-the-spirit-of-heaven-11', 17.131467234106232, 3], ['https://www.cfcindia.org/wftw/a-balanced-christian-life', 4.7680246086785845, 20], ['https://www.cfcindia.org/wftw/a-balanced-christian-life', 0, 20], ['https://www.cfcindia.org/wftw/the-difference-between-the-old-man-and-the-flesh-9', 10.386274800296194, 1], ['https://www.cfcindia.org/wftw/jesus-triumph-over-satan', 8.309986579749634, 2], ['https://www.cfcindia.org/wftw/be-not-drunk-with-wine-but-be-filled-with-the-holy-spirit', 15.529768050241758, 1], ['https://www.cfcindia.org/wftw/preserve-the-unity-of-the-spirit-in-your-marriage-and-in-the-church', 10.969357263148288, 3], ['https://www.cfcindia.org/wftw/learning-and-following', 8.44036011516906, 3], ['https://www.cfcindia.org/wftw/don%E2%80%99t-miss-god%E2%80%99s-will-in-your-marriage', 8.418488968170012, 9], ['https://www.cfcindia.org/wftw/look-forward-to-a-wonderful-year-in-christ', 17.131467234106232, 1], ['https://www.cfcindia.org/wftw/sin-is-like-an-infectious-disease', 6.167576386138733, 11], ['https://www.cfcindia.org/wftw/the-bulls-eye', 13.163228715777937, 1], ['https://www.cfcindia.org/wftw/god-will-either-open-or-close-the-door-at-the-right-time-for-overcomers', 8.510446532308604, 1], ['https://www.cfcindia.org/wftw/god-dwells-in-a-home-where-there-is-peace', 9.680169490713363, 1], ['https://www.cfcindia.org/wftw/the-gifts-of-the-holy-spirit-1', 10.513609712333986, 2], ['https://www.cfcindia.org/wftw/demonstrating-true-spiritual-authority', 14.460687949027859, 1], ['https://www.cfcindia.org/wftw/unity-in-variety', 9.42960307281521, 6], ['https://www.cfcindia.org/wftw/the-secret-of-discernment', 18.217326986094985, 2], ['https://www.cfcindia.org/wftw/becoming-a-blessing', 7.875118285426112, 2]]"
corrections,"[['https://www.cfcindia.org/wftw/do-you-accuse-or-do-you-intercede', 11.032834260348778, 1], ['https://www.cfcindia.org/wftw/ministry-of-intercession', 11.07883204397278, 1]]"
depths,"[['https://www.cfcindia.org/wftw/blessed-by-god', 8.721588298124331, 1], ['https://www.cfcindia.org/wftw/let-christ-be-the-centre-of-your-life', 9.677331774893668, 1], ['https://www.cfcindia.org/wftw/the-purpose-of-trials', 9.080127762665445, 1], ['https://www.cfcindia.org/wftw/faith-tested-by-fire', 9.056259851971936, 1], ['https://www.cfcindia.org/wftw/how-god-prepares-a-man-for-the-ministry', 10.100137425594651, 1], ['https://www.cfcindia.org/wftw/how-god-prepares-a-man-for-the-ministry', 10.110181512523287, 1], ['https://www.cfcindia.org/wftw/dont-doubt-the-love-of-god', 9.015436913160688, 1], ['https://www.cfcindia.org/wftw/overcoming-sexual-passions', 10.86239002297738, 1], ['https://www.cfcindia.org/wftw/four-reasons-for-god-blessing-jacob', 8.771514913660608, 1], ['https://www.cfcindia.org/wftw/four-reasons-why-god-blessed-jacob', 9.429903734584295, 1], ['https://www.cfcindia.org/wftw/salvation-from-selfcentredness', 9.866693354073652, 1]]"
debt,"[['https://www.cfcindia.org/wftw/characteristics-of-spiritfilled-service', 11.083718228331017, 7], ['https://www.cfcindia.org/wftw/jesus-triumph-over-satan', 14.506244640223366, 7], ['https://www.cfcindia.org/wftw/an-example-of-a-godly-woman-with-faith', 4.176269452148282, 1], ['https://www.cfcindia.org/wftw/clear-your-debt-to-the-whole-world-and-to-the-church', 0, 10], ['https://www.cfcindia.org/wftw/amazing-faith-of-a-godly-mother', 4.176269452148282, 1], ['https://www.cfcindia.org/wftw/the-holy-spirit-can-minister-to-all-your-needs', 8.875656941690155, 10], ['https://www.cfcindia.org/article/clearing-our-debts', 7.688202501283193, 47], ['https://www.cfcindia.org/article/clearing-our-debts', 0, 47]]"
captives,"[['https://www.cfcindia.org/wftw/the-blessing-of-abraham', 9.355050151947465, 1], ['https://www.cfcindia.org/wftw/the-gifts-of-the-holy-spirit', 9.995657775717532, 1]]"
mess,"[['https://www.cfcindia.org/wftw/make-a-new-beginning-today', 14.623376044272808, 2]]"
qualities,"[['https://www.cfcindia.org/wftw/the-sad-story-of-a-man-who-lost-his-anointing', 8.29499333981553, 3], ['https://www.cfcindia.org/wftw/the-sad-story-of-a-man-who-lost-his-anointing', 9.06820488631445, 3]]"
murmur,"[['https://www.cfcindia.org/wftw/praising-god-for-everything', 11.581023084350022, 2], ['https://www.cfcindia.org/wftw/overcoming-the-opposition-from-the-enemy', 9.871504803332906, 5]]"
mortgage,"[['https://www.cfcindia.org/wftw/financial-discipline-for-believers', 7.50835646942991, 1]]"
glory,"[['https://www.cfcindia.org/wftw/have-a-spiritual-check-up-of-your-life', 10.591441085970253, 1], ['https://www.cfcindia.org/wftw/two-important-exhortations', 9.82464474988796, 1], ['https://www.cfcindia.org/wftw/dont-let-past-failures-discourage-you-1', 13.207868387367476, 1], ['https://www.cfcindia.org/wftw/the-anointing-should-increase-in-our-life', 9.481531848695143, 4], ['https://www.cfcindia.org/wftw/you-can-overcome-discouragement', 7.080998675203256, 14], ['https://www.cfcindia.org/wftw/the-holy-spirit-transforms-us-from-glory-to-glory', 9.283748394936634, 21], ['https://www.cfcindia.org/wftw/the-holy-spirit-transforms-us-from-glory-to-glory', 3.4787915910812957, 21], ['https://www.cfcindia.org/wftw/the-glory-of-christ-in-an-earthen-vessel', 9.122596743445936, 13], ['https://www.cfcindia.org/wftw/the-glory-of-christ-in-an-earthen-vessel', 6.893921712175375, 13], ['https://www.cfcindia.org/wftw/two-lovely-promises-from-zechariah', 9.487753297077088, 6], ['https://www.cfcindia.org/wftw/three-powerful-exhortations-from-isaiah', 12.422654542832031, 3], ['https://www.cfcindia.org/wftw/sin-is-coming-short-of-the-glory-of-god', 7.041686933769942, 7], ['https://www.cfcindia.org/wftw/moses-manifested-the-spirit-of-christ', 9.529335913778107, 5], ['https://www.cfcindia.org/wftw/don%E2%80%99t-be-impressed-by-the-numerical-growth-of-a-church', 10.36153930876638, 2], ['https://www.cfcindia.org/wftw/learn-valuable-lessons-from-solomon', 9.446453077012457, 1], ['https://www.cfcindia.org/wftw/two-different-streams', 12.005909624663323, 7], ['https://www.cfcindia.org/wftw/two-different-streams', 9.42216807804158, 7], ['https://www.cfcindia.org/wftw/two-different-streams', 6.577193792682205, 7], ['https://www.cfcindia.org/wftw/a-wall-of-fire-0', 8.54585087047573, 6], ['https://www.cfcindia.org/wftw/the-glory-of-a-true-servant-of-god', 9.558875086123972, 5], ['https://www.cfcindia.org/wftw/god-is-on-the-throne', 9.891136676671733, 3], ['https://www.cfcindia.org/wftw/living-for-the-glory-of-god-1', 7.905658623800253, 13], ['https://www.cfcindia.org/wftw/purifying-and-cleansing-ourselves', 9.927561105526577, 1], ['https://www.cfcindia.org/wftw/days-of-heaven-upon-earth-during-the-year-2010', 9.781801365402039, 3], ['https://www.cfcindia.org/wftw/a-wonderful-ministry-of-transformation-from-glory-to-glory', 8.495242909708303, 15], ['https://www.cfcindia.org/wftw/i-believe-therefore-i-confess', 10.361747278944716, 1], ['https://www.cfcindia.org/wftw/a-message-of-hope-for-all-the-married-couples', 9.41874751119888, 5], ['https://www.cfcindia.org/wftw/forgiving-others-as-god-has-forgiven-us', 14.236864424730587, 1], ['https://www.cfcindia.org/wftw/a-testimony-to-satan-and-his-hosts', 9.932109063198517, 2], ['https://www.cfcindia.org/wftw/a-wall-of-fire', 9.293055754980994, 5], ['https://www.cfcindia.org/wftw/look-backward-upward-and-forward', 9.702983384948567, 4], ['https://www.cfcindia.org/wftw/fifth-requirement-for-spiritual-progress-the-body-of-christ', 9.857362590205668, 1], ['https://www.cfcindia.org/wftw/jerusalem-and-babylon-contrasted', 9.226878399670305, 9], ['https://www.cfcindia.org/wftw/living-for-the-glory-of-god-0', 8.595628161778011, 13], ['https://www.cfcindia.org/wftw/the-glory-of-god-is-his-goodness', 8.972447778084375, 8], ['https://www.cfcindia.org/wftw/the-testing-of-moses', 2.7604425581945624, 3], ['https://www.cfcindia.org/wftw/the-influence-of-one-man', 10.128898476441872, 1], ['https://www.cfcindia.org/wftw/sacrificing-everything', 12.58181539030194, 1], ['https://www.cfcindia.org/wftw/that-which-costs-us-everything', 14.306377070860554, 3], ['https://www.cfcindia.org/wftw/thine-is-the-kingdom-the-power-and-the-glory-forever', 12.612519068462431, 4], ['https://www.cfcindia.org/wftw/thine-is-the-kingdom-the-power-and-the-glory-forever', 9.81628461541558, 4], ['https://www.cfcindia.org/wftw/living-for-the-glory-of-god', 6.954801020703273, 12]]"
need,"[['https://www.cfcindia.org/wftw/learn-to-desire-the-best-for-others', 9.147383518706238, 10], ['https://www.cfcindia.org/wftw/two-types-of-ministries', 10.778559773968848, 1], ['https://www.cfcindia.org/wftw/draw-from-the-bank-of-heaven', 10.443644013701533, 4], ['https://www.cfcindia.org/wftw/the-condition-of-gods-people-depends-on-their-leaders-9', 7.340763155225508, 4], ['https://www.cfcindia.org/wftw/new-covenant-ministry-0', 10.614793295650701, 3], ['https://www.cfcindia.org/wftw/appreciate-the-variety-in-the-body-of-christ', 10.112473497120368, 6], ['https://www.cfcindia.org/wftw/spiritual-growth-through-gratitude', 10.587096636536675, 4], ['https://www.cfcindia.org/wftw/the-power-of-repetition', 9.771956036764513, 4], ['https://www.cfcindia.org/wftw/the-divine-exchange', 8.825243606691688, 7], ['https://www.cfcindia.org/wftw/three-lessons-from-deuteronomy', 10.612378623356785, 8], ['https://www.cfcindia.org/wftw/three-lessons-from-deuteronomy', 9.623319847415242, 8], ['https://www.cfcindia.org/wftw/the-financial-policy-of-jesus-and-the-apostles', 10.251644130815498, 11], ['https://www.cfcindia.org/wftw/gods-evaluation-of-the-church-in-sardis', 11.22344297839856, 2], ['https://www.cfcindia.org/wftw/gods-evaluation-of-the-church-in-sardis', 9.529138588576696, 2], ['https://www.cfcindia.org/wftw/three-things-jesus-did-for-us-on-the-cross', 9.284070921764961, 10], ['https://www.cfcindia.org/wftw/the-lord-wants-our-hearts-to-be-on-fire', 9.775576213588915, 1], ['https://www.cfcindia.org/wftw/jesus-valued-fellowship-with-his-father', 11.301411768608064, 1], ['https://www.cfcindia.org/wftw/three-valuable-exhortations', 12.270501313830234, 1], ['https://www.cfcindia.org/wftw/a-brief-message-from-god-can-bless-the-others', 10.942724312921097, 5], ['https://www.cfcindia.org/wftw/value-the-anointing-of-the-holy-spirit-like-elisha', 9.816060714904042, 5], ['https://www.cfcindia.org/wftw/the-blood-of-christ', 9.779232011293262, 4], ['https://www.cfcindia.org/wftw/valuing-the-gifts-in-the-body-of-christ', 10.180421283435685, 10], ['https://www.cfcindia.org/wftw/three-examples-of-men-who-were-religious-but-not-spiritual-11', 10.550513914004965, 1], ['https://www.cfcindia.org/wftw/financial-discipline-for-believers', 10.445379323472373, 7], ['https://www.cfcindia.org/wftw/old-covenant-and-new-covenant-prophets', 9.727881051079505, 1], ['https://www.cfcindia.org/wftw/gentleness-and-goodness-of-jesus', 10.86568781833279, 2], ['https://www.cfcindia.org/wftw/now-i-know-that-you-fear-me-0', 10.726436622975807, 1], ['https://www.cfcindia.org/wftw/hannah-a-wonderful-mother', 9.30061908995138, 8], ['https://www.cfcindia.org/wftw/pauls-example-in-serving-the-lord', 10.679108708713997, 1], ['https://www.cfcindia.org/wftw/shepherds-after-gods-own-heart', 9.975987410032205, 2], ['https://www.cfcindia.org/wftw/shepherds-after-gods-own-heart', 9.440497902286939, 2], ['https://www.cfcindia.org/wftw/spiritual-blessings-in-the-heavenlies', 10.63305355233023, 4], ['https://www.cfcindia.org/wftw/three-stages-of-the-christian-life', 7.323613905389124, 4], ['https://www.cfcindia.org/wftw/there-is-a-godordained-variety-in-the-body-of-christ', 11.04662023068267, 6], ['https://www.cfcindia.org/wftw/being-thankful-is-one-of-the-signs-of-spiritual-growth', 12.393878006074981, 1], ['https://www.cfcindia.org/wftw/here-am-i-%E2%80%93-send-me', 13.967667010238435, 4], ['https://www.cfcindia.org/wftw/here-am-i-%E2%80%93-send-me', 9.566561794001787, 4], ['https://www.cfcindia.org/wftw/samuel-grew-up-in-favour-both-with-the-lord-and-with-men', 10.445520313084405, 5], ['https://www.cfcindia.org/wftw/the-spirit-of-praise-and-holiness', 10.586425405127446, 4], ['https://www.cfcindia.org/wftw/we-have-a-loving-heavenly-father', 10.237959718212057, 2], ['https://www.cfcindia.org/wftw/bless-the-others-and-disappear-seek-to-be-unknown', 8.726058041918172, 8], ['https://www.cfcindia.org/wftw/the-difference-between-old-and-new-covenant', 10.377444165803384, 12], ['https://www.cfcindia.org/wftw/god-can-give-you-wisdom-to-handle-any-problem', 10.22291587030321, 10], ['https://www.cfcindia.org/wftw/some-reasons-for-perpetual-financial-difficulties', 12.217623309071051, 4], ['https://www.cfcindia.org/wftw/some-reasons-for-perpetual-financial-difficulties', 7.128998817900497, 4], ['https://www.cfcindia.org/wftw/the-difference-between-a-congregation-and-the-house-of-god', 10.67200039497547, 2], ['https://www.cfcindia.org/wftw/mercy-is-a-very-important-antidote-to-pharisaism', 10.0365960410582, 8], ['https://www.cfcindia.org/wftw/daily-transformation', 9.767032261358878, 3], ['https://www.cfcindia.org/wftw/stick-to-your-particular-ministry', 10.89951750977596, 1], ['https://www.cfcindia.org/wftw/the-difference-between-soulpower-and-the-power-of-the-holy-spirit', 10.560268095203218, 4], ['https://www.cfcindia.org/wftw/every-church-needs-a-prophetic-ministry', 10.283357585145579, 6], ['https://www.cfcindia.org/wftw/jesus-valued-unbroken-fellowship-with-the-father-in-heaven', 10.772116482430944, 1], ['https://www.cfcindia.org/wftw/three-examples-of-men-who-were-religious-but-not-spiritual', 9.988928824473335, 1], ['https://www.cfcindia.org/wftw/in-every-generation-god-needs-godly-leaders', 8.152254233967183, 3], ['https://www.cfcindia.org/wftw/the-importance-of-inward-cleansing', 10.303685221633893, 1], ['https://www.cfcindia.org/wftw/avoiding-hasty-actions', 10.853649031535236, 1], ['https://www.cfcindia.org/wftw/watch-your-attitude-to-your-fellow-believers-in-need', 9.941821208667946, 5], ['https://www.cfcindia.org/wftw/watch-your-attitude-to-your-fellow-believers-in-need', 13.166275958982888, 5], ['https://www.cfcindia.org/wftw/the-condition-of-gods-people-depends-on-their-leaders', 9.875636467008967, 4], ['https://www.cfcindia.org/wftw/the-condition-of-gods-people-depends-on-their-leaders', 9.999225490385943, 4], ['https://www.cfcindia.org/wftw/the-life-of-jesus', 9.15848620695564, 2], ['https://www.cfcindia.org/wftw/let-the-focus-of-your-prayer-shift-from-your-need-to-gods-need', 9.412955093681289, 8], ['https://www.cfcindia.org/wftw/gods-first-messages-to-man-part-1', 10.769846732357342, 1], ['https://www.cfcindia.org/wftw/the-importance-of-a-prophetic-ministry', 11.003197873915097, 3], ['https://www.cfcindia.org/wftw/the-sad-story-of-a-man-who-lost-his-anointing', 11.033050322794756, 2], ['https://www.cfcindia.org/wftw/acknowledge-your-need-of-help-from-others', 10.32583593101565, 6], ['https://www.cfcindia.org/wftw/six-psalms-of-encouragement', 10.516916217497842, 1], ['https://www.cfcindia.org/wftw/days-of-heaven-upon-earth-during-the-year-2010', 10.97221168690033, 2], ['https://www.cfcindia.org/wftw/power-of-repetition', 16.86647911568799, 4], ['https://www.cfcindia.org/wftw/power-of-repetition', 13.93642218510485, 4], ['https://www.cfcindia.org/wftw/our-new-testament-privilege', 10.414171958705541, 2], ['https://www.cfcindia.org/wftw/redemption-and-victory', 9.686664273179856, 4], ['https://www.cfcindia.org/wftw/secret-of-spiritual-strength', 7.81248027999626, 4], ['https://www.cfcindia.org/wftw/a-message-of-hope-for-all-the-married-couples', 10.53249120101423, 5], ['https://www.cfcindia.org/wftw/love-the-basis-of-all-gods-dealings-with-man-0', 10.243862954359598, 4], ['https://www.cfcindia.org/wftw/the-gifts-of-the-holy-spirit-0', 10.363265480415977, 9], ['https://www.cfcindia.org/wftw/the-need-for-shepherds-after-gods-own-heart', 10.62351159490713, 2], ['https://www.cfcindia.org/wftw/praising-the-lord-in-faith', 10.978155142500553, 1], ['https://www.cfcindia.org/wftw/the-love-of-god-for-his-people', 10.699842778400278, 1], ['https://www.cfcindia.org/wftw/secret-of-prophetic-ministry', 10.813516828758587, 5], ['https://www.cfcindia.org/wftw/look-backward-upward-and-forward', 10.012796734866196, 6], ['https://www.cfcindia.org/wftw/look-backward-upward-and-forward', 10.210905956311512, 6], ['https://www.cfcindia.org/wftw/jesus-became-poor-in-order-to-make-us-rich', 3.3457455764891435, 18], ['https://www.cfcindia.org/wftw/jesus-became-poor-in-order-to-make-us-rich', 9.126733148009437, 18], ['https://www.cfcindia.org/wftw/second-requirement-for-spiritual-progressthe-holy-spirit', 8.857809096848777, 7], ['https://www.cfcindia.org/wftw/unity-in-variety', 9.484792502673201, 7], ['https://www.cfcindia.org/wftw/importance-of-gods-word-and-prayer', 9.522393160827693, 8], ['https://www.cfcindia.org/wftw/deliverance-from-regrets', 11.17350748241869, 2], ['https://www.cfcindia.org/wftw/importance-of-fellowship-with-god-hearing-his-voice', 2.300251152967498, 11], ['https://www.cfcindia.org/wftw/fellowship-with-jesus', 9.385892180730522, 9], ['https://www.cfcindia.org/wftw/be-filled-with-the-holy-spirit', 9.755750113464488, 7], ['https://www.cfcindia.org/wftw/love-the-basis-of-all-gods-dealings-with-man', 10.083883521771943, 4], ['https://www.cfcindia.org/wftw/truly-thou-art-a-god-who-hides-thyself', 10.349157337131182, 8], ['https://www.cfcindia.org/wftw/living-in-the-will-of-god-0', 10.186978709616676, 8], ['https://www.cfcindia.org/wftw/the-anointing-of-the-holy-spirit-example-of-jesus', 14.173059491623714, 2], ['https://www.cfcindia.org/wftw/the-gifts-of-the-holy-spirit', 10.211201790372105, 9], ['https://www.cfcindia.org/wftw/living-in-the-will-of-god', 9.967284512335322, 7], ['https://www.cfcindia.org/wftw/faithfulness-in-serving-our-fellow-believers-0', 7.7467601929402345, 3], ['https://www.cfcindia.org/wftw/living-by-faith-0', 11.026871242973572, 4], ['https://www.cfcindia.org/wftw/the-life-and-ministry-of-jesus', 14.173059491623714, 2], ['https://www.cfcindia.org/wftw/divine-discipline', 11.154687340457382, 3], ['https://www.cfcindia.org/wftw/all-sufficient-grace', 8.72625859278204, 8], ['https://www.cfcindia.org/wftw/the-holy-spirit-and-gods-word', 0, 7], ['https://www.cfcindia.org/wftw/true-and-false-prophets-0', 11.321053841675436, 1], ['https://www.cfcindia.org/wftw/praising-the-lord-in-holy-attire', 11.692964277415765, 2], ['https://www.cfcindia.org/wftw/a-loving-father-0', 10.333314706489407, 2], ['https://www.cfcindia.org/wftw/a-loving-father', 10.398859824837206, 2], ['https://www.cfcindia.org/wftw/faithfulness-in-serving-our-fellow-believers', 10.300915914647614, 5], ['https://www.cfcindia.org/wftw/the-ministry-of-melchizedek', 9.994087817262317, 8], ['https://www.cfcindia.org/wftw/the-holy-spirit', 7.623391715573307, 6], ['https://www.cfcindia.org/wftw/preserving-the-church-from-satans-agents', 10.895255671611855, 1], ['https://www.cfcindia.org/wftw/progressive-sanctification', 9.43945190043333, 1], ['https://www.cfcindia.org/wftw/a-danielministry-and-a-luciferministry', 10.127347880647527, 1], ['https://www.cfcindia.org/article/the-new-testament-pattern', 10.37765486397163, 5], ['https://www.cfcindia.org/article/hymns-written-by-zac-poonen', 10.685329428399728, 1], ['https://www.cfcindia.org/article/be-filled-with-the-holy-spirit', 2.848283730507348, 6], ['https://www.cfcindia.org/article/be-filled-with-the-holy-spirit', 5.883032289458981, 6]]"
